oev_id;o_name;o_geometrie
1;Post;46.72741541403384, 9.557959509401506
2;Skischuleplatz;46.7287980631038, 9.555047676600289
3;Val Sporz;46.72536545317257, 9.547699268215036
4;Central;46.728790221534304, 9.552691349199831
5;Fadail/Lido;46.73484250400238, 9.547359352873755
6;Seehof;46.74284198424356, 9.548856877456505
7;Valbella, Skilift / Kirche;46.747313567502786, 9.553351380171677
8;Valbella, Posthotel;46.74943133541199, 9.55581578540625
9;Valbella, Canols;46.74458949071126, 9.556574725886893
10;Rothornbahn;46.74073604421445, 9.555717108293875
11;Dieschen Sot ;46.736938299695545, 9.556278856296665
12;Lenzerheide Sportzentrum;46.73440467827907, 9.556161540394903
13;Altersheim;46.73000203196638, 9.556455077431751
14;Tankstelle;46.72425428897489, 9.557847340660983
15;Clavadoiras;46.721896447193785, 9.558861438423499
16;Hörnli;46.77267993424165, 9.658717116909642
17;Gada;46.77459055838274, 9.661773057373452
18;Kulm;46.77471357632964, 9.66475241785407
19;Brüggli/Skischule;46.7757648235294, 9.665305675234325
20;Bellevue;46.77636266495313, 9.67012883782399
21;Rathaus;46.77756817488796, 9.675238775084642;
22;Zentrum;46.77915962038653, 9.677761065653618
23;Weisshornbahn/Skischule;46.78223979871248, 9.679936665691166
24;Bahnhof;46.783956823428696, 9.679569121362901
25;Obersee;46.7863769160819, 9.68033805232677
26;Surlej;46.78657006103344, 9.68267368021451
27;Sandhubel;46.78264780362999, 9.685722456258851
28;Ochsenbühl;46.78305902437366, 9.682785498545607
29;Seeboden;46.78319566450228, 9.685633539382632
30;Alteinplatz;46.78264664414367, 9.68491200296192
31;Wetterweide;46.78030132847963, 9.685799242845759
32;Untersee;46.779114042205656, 9.684136045198814
33;Seilpark;46.78532295620968, 9.68548013328975
34;Seehalde;46.78725026095699, 9.684844484207686
35;Gollrad;46.788752081535804, 9.68184078175938
36;Langlauf/Golf;46.7918680832958, 9.682304612086977
37;Maran;46.79287098460868, 9.681577538152247
38;Prätschli;46.79100148543453, 9.675275955824935