parkplatz_id;pp_name;pp_geometrie
1;Parkhaus Ochsenbühl;46.78255904342969, 9.682705474568674
2;Parkhaus Brüggli;46.77599016181483, 9.66531869705309
3;Obersee;46.78570057646509, 9.680092203257143
4;Hubelsee;46.777128046326034, 9.677677810546824
5;Hörnli;46.772674532934836, 9.658842755308333
6;Prätschli;46.7906458556278, 9.675073767595277
7;Parkhaus Sandhubel;46.78284469829524, 9.68519869705345
8;Rothorn (Lenzerheide);46.73968496588018, 9.556366325886634
9;Fadail (Lenzerheide);46.73311064776782, 9.54736745664415
10;Heimberg (Parpan);46.76194681744159, 9.562264325887837
11;Scalottas (Lenzerheide);46.72506335346091, 9.547723339379605
12;Valbella (Lenzerheide);46.74705789031546, 9.55327716931644
13;Proschieri (Parpan);46.76012788338597, 9.552607461816168
14;Portal (Churwalden);46.777029759796704, 9.54270256192873
15;Schiba (Churwalden);46.77591262665106, 9.544912387018455
16;Ried (Churwalden);46.77794459587262, 9.54445359865403
17;Stettli (Churwalden);46.77777169485637, 9.54235391534178
18;Chloster (Churwalden);46.789030999995425, 9.535545118938414
19;Hafner (Lenzerheide);46.72768903138701, 9.561294906762505
20;Obertor (Parpan);46.756799479394765, 9.560999418196731